Video Number,Code,Format,Title,Drop Date,Status,Uploaded Date,Notes
001,80.V0B,Long,Health Info & Biology Baseline,2026-08-17,Uploaded,2026-07-26,Uploaded
002,80.V0A,Long,"230,000 Patient Visits",2026-08-03,Uploaded,2026-07-26,Uploaded
003,80.V1B1,Long,Exercise Optional (Movement Mandatory),2026-08-10,Uploaded,2026-07-26,Uploaded
004,80.V0A1,Long,Systemized OS Framework,2026-08-24,In Production,,In Production
005,80.V0B-S1,Short,Why Health Information Alone Keeps You Broken,2026-08-18,Editing,,Editing
006,80.V0B-S2,Short,The Hidden System Glitch Ruining Your Body,2026-08-20,Ready for Audio Riff,,Ready for Audio Riff
007,80.V0B-S3,Short,Stop Buying Health Advice from Coaches Who Dont Know Physiology,2026-08-22,Ready for Audio Riff,,Ready for Audio Riff
008,80.V0A-S1,Short,The Biological Reason Monday Resolutions Always Fail,2026-08-04,Editing,,Editing
009,80.V0A-S2,Short,The Exact Biological Sequence Your Body Needs to Change,2026-08-06,Editing,,Editing
010,80.V0A-S3,Short,Stop Treating Your Health Like an Emergency Room,2026-08-08,Editing,,Editing
011,80.V1B1-S1,Short,Exercise is Optional But Movement is Biologically Mandatory,2026-08-11,Ready for Audio Riff,,Ready for Audio Riff
012,80.V1B1-S2,Short,Joint Imbibition: The Only Way Your Joints Actually Get Nourished,2026-08-13,Ready for Audio Riff,,Ready for Audio Riff
013,80.V1B1-S3,Short,Cortical Smudging: Why Your Back Pain Randomly Spasms,2026-08-15,Ready for Audio Riff,,Ready for Audio Riff
014,80.V0A1-S1,Short,Why Relying on Willpower Guarantees Physical Burnout,2026-08-25,Editing,,Editing
015,80.V0A1-S2,Short,The Level 1 FMR Baseline Every Body Needs to Master,2026-08-27,Editing,,Editing
016,80.V0A1-S3,Short,The 3-Tier Health Pyramid That Fixes Chronic Fatigue,2026-08-29,Editing,,Editing
